time,ppg
13:00:33.520397,499
13:00:33.534727,500
13:00:33.551055,498
13:00:33.551055,498
13:00:33.567405,495
13:00:33.583123,494
13:00:33.583123,490
13:00:33.599133,488
13:00:33.599133,483
13:00:33.615146,481
13:00:33.631158,475
13:00:33.631158,473
13:00:33.647406,467
13:00:33.663322,464
13:00:33.663322,459
13:00:33.679344,455
13:00:33.680351,448
13:00:33.695360,444
13:00:33.711372,437
13:00:33.712384,434
13:00:33.727949,427
13:00:33.742946,422
13:00:33.744955,416
13:00:33.759967,411
13:00:33.761011,405
13:00:33.775495,401
13:00:33.791227,394
13:00:33.793225,390
13:00:33.807570,383
13:00:33.823577,378
13:00:33.824576,371
13:00:33.839389,366
13:00:33.840398,359
13:00:33.855482,355
13:00:33.871592,348
13:00:33.872072,344
13:00:33.887498,338
13:00:33.903703,335
13:00:33.903932,329
13:00:33.919525,325
13:00:33.920535,319
13:00:33.935544,315
13:00:33.951555,309
13:00:33.952576,305
13:00:33.967595,299
13:00:33.983232,294
13:00:33.984232,287
13:00:33.999240,283
13:00:33.999240,277
13:00:34.015251,273
13:00:34.031263,267
13:00:34.031263,264
13:00:34.047275,258
13:00:34.063809,255
13:00:34.065809,251
13:00:34.078831,249
13:00:34.079832,246
13:00:34.094842,245
13:00:34.110854,243
13:00:34.111854,242
13:00:34.126865,240
13:00:34.143344,241
13:00:34.143344,240
13:00:34.158932,241
13:00:34.175469,242
13:00:34.175469,246
13:00:34.191009,250
13:00:34.192002,256
13:00:34.207379,262
13:00:34.223844,269
13:00:34.225818,275
13:00:34.239815,282
13:00:34.254845,288
13:00:34.255828,294
13:00:34.271339,297
13:00:34.271800,301
13:00:34.287381,303
13:00:34.303354,306
13:00:34.303354,306
13:00:34.319497,308
13:00:34.335679,307
13:00:34.335679,308
13:00:34.351696,307
13:00:34.351696,307
13:00:34.367539,306
13:00:34.383436,306
13:00:34.383436,305
13:00:34.399877,304
13:00:34.415915,303
13:00:34.415915,302
13:00:34.431158,300
13:00:34.431158,300
13:00:34.447471,298
13:00:34.463420,297
13:00:34.463916,296
13:00:34.479436,296
13:00:34.495473,296
13:00:34.495944,297
13:00:34.511288,297
13:00:34.511288,299
13:00:34.526762,300
13:00:34.542773,302
13:00:34.543773,304
13:00:34.559796,308
13:00:34.575804,310
13:00:34.575804,314
13:00:34.591181,316
13:00:34.591181,319
13:00:34.607194,323
13:00:34.623255,327
13:00:34.623255,332
13:00:34.639265,337
13:00:34.655323,342
13:00:34.655323,349
13:00:34.671285,356
13:00:34.671800,363
13:00:34.687371,371
13:00:34.703008,380
13:00:34.704961,388
13:00:34.719962,396
